method,seed,generation,best_fitness,average_fitness,best_prefix,best_operator_count,average_operator_count,genotypic_diversity,structural_diversity,behavioral_diversity,generation_time_seconds,actual_fitness_evaluations
GEP,43,18,0.6463930034264859,0.6375725406135471,(+ B (+ S (+ B B))),3,2.925,0.8,0.225,0.2,7.6740446999974665,147
GEP,43,19,0.6463930034264859,0.638261621432115,(+ B (+ S (+ B B))),3,3.075,0.625,0.175,0.15,12.084318700006406,151
GEP,43,20,0.6463930034264859,0.6400852766037415,(+ B (+ S (+ B B))),3,2.95,0.65,0.125,0.1,2.4932635000004666,152
GEP,43,21,0.6463930034264859,0.6454027429979444,(+ B (+ S (+ B B))),3,3.15,0.65,0.1,0.075,5.099416100005328,154
GEP,43,22,0.6463930034264859,0.6401439032645782,(+ B (+ S (+ B B))),3,2.925,0.8,0.125,0.125,4.938269799997215,156
GEP,43,23,0.6463930034264859,0.6369548718614262,(+ B (+ S (+ B B))),3,2.925,0.8,0.175,0.175,13.974977199999557,161
GEP,43,24,0.6463930034264859,0.6392176771030411,(+ B (+ S (+ B B))),3,3.175,0.825,0.175,0.15,10.20953659999941,165
GEP,43,25,0.6463930034264859,0.6354680363201456,(+ B (+ S (+ B B))),3,2.9,0.775,0.225,0.225,7.259372800006531,168
GEP,44,0,0.5109285039437911,0.4526295382736413,(* L C),1,0.5,1.0,0.55,0.425,81.63637620000372,22
GEP,44,1,0.5284492475568054,0.466753805925873,(* #5 C),1,0.65,0.95,0.35,0.3,17.916965699994762,26
GEP,44,2,0.5284492475568054,0.4863456665265525,(* #5 C),1,0.6,0.925,0.2,0.2,13.695255200000247,29
GEP,44,3,0.5284492475568054,0.5030272745845835,(* #5 C),1,0.925,0.975,0.2,0.2,14.215018499999132,32
GEP,44,4,0.5284492475568054,0.517636348764742,(* #5 C),1,0.95,0.925,0.2,0.2,7.133661300002132,34
GEP,44,5,0.5576423150960337,0.5291790742452862,(* #5 (min #2 C)),2,1.025,0.925,0.05,0.05,3.184819400004926,35
GEP,44,6,0.5576423150960337,0.5295940003242128,(* #5 (min #2 C)),2,1.025,0.925,0.075,0.075,3.272363000003679,36
GEP,44,7,0.5576423150960337,0.5277371193616749,(* #5 (min #2 C)),2,1.1,0.95,0.15,0.15,11.84409659999801,39
GEP,44,8,0.5582624917998078,0.5410513671661488,(* S (max #2 M)),2,1.4,0.975,0.175,0.175,9.846001199999591,42
GEP,44,9,0.5582624917998078,0.5468422032148117,(* S (max #2 M)),2,1.7,0.775,0.225,0.2,6.216369900001155,44
GEP,44,10,0.5582624917998078,0.5494559608931034,(* S (max #2 M)),2,2.075,0.825,0.125,0.1,8.240793099997973,46
GEP,44,11,0.5582624917998078,0.5392145933070746,(* S (max #2 M)),2,1.925,0.9,0.225,0.2,13.366103499996825,50
GEP,44,12,0.5582624917998078,0.5316323344226698,(* S (max #2 M)),2,2.125,0.825,0.2,0.2,20.164508699999715,55
GEP,44,13,0.5737601847761729,0.5520133044559014,(* S (max #2 C)),2,1.975,0.825,0.175,0.15,16.16954610000539,60
GEP,44,14,0.5737601847761729,0.5441086891216136,(* S (max #2 C)),2,1.95,0.9,0.25,0.225,14.978077899999334,64
GEP,44,15,0.6205524484605334,0.5557119829730179,(* S (max #2 (max (* K V) #1))),4,2.075,0.825,0.2,0.175,19.308147700001427,69
GEP,44,16,0.6227260414596344,0.5643016532978369,(* S (max #2 (* (* K V) #1))),4,2.275,0.9,0.275,0.2,23.451622799999313,76
GEP,44,17,0.6310286320755049,0.5653645388871017,(* (* (max C (* #1 V)) #2) S),4,2.675,0.9,0.45,0.375,34.529818299997714,86
GEP,44,18,0.6310286320755049,0.5876572164088997,(* (* (max C (* #1 V)) #2) S),4,3.425,0.85,0.475,0.4,31.748115100002906,95
GEP,44,19,0.6372464115450197,0.6042712278548705,(* S (* (* (* (max D #2) V) #2) S)),5,3.825,0.8,0.5,0.4,40.15728600000148,108
GEP,44,20,0.6400539018995293,0.6129772784482246,(* (* (max (* D #2) #1) (max K V)) S),5,3.825,0.675,0.45,0.375,27.35583879999467,118
GEP,44,21,0.6400539018995293,0.6118452304752193,(* (* (max (* D #2) #1) (max K V)) S),5,4.2,0.675,0.5,0.35,30.165316200000234,128
GEP,44,22,0.660246410812361,0.6170604718758964,(* S (* (* V C) S)),3,4.45,0.8,0.6,0.45,45.551879800004826,144
GEP,44,23,0.660246410812361,0.6245920498965313,(* S (* (* V C) S)),3,4.15,0.9,0.7,0.55,30.976662599998235,157
GEP,44,24,0.660246410812361,0.6251973072895316,(* S (* (* V C) S)),3,3.575,0.875,0.625,0.5,36.92222689999471,170
GEP,44,25,0.660246410812361,0.6359712219072989,(* S (* (* V C) S)),3,3.3,0.9,0.575,0.45,38.578848799996194,186
