method,seed,generation,best_fitness,average_fitness,best_prefix,best_operator_count,average_operator_count,structural_diversity,behavioral_diversity,generation_time_seconds,actual_fitness_evaluations
GP,44,0,0.5514770908459552,0.41635257062440284,(max (* (- D #1) (/ #1 B)) (abs (* K L))),6,2.7,1.0,0.675,277.7511639000004,40
GP,44,1,0.5589087049895985,0.433678402592432,(abs (* K L)),2,2.05,0.875,0.675,147.6369593999989,61
GP,44,2,0.5626493641268577,0.4434744971623587,(* K L),1,3.0,0.925,0.7,187.7579332000023,89
GP,44,3,0.5709176923886428,0.46460950531941253,(max (+ S B) (abs (* K L))),4,3.55,0.9,0.675,167.50619290000031,114
GP,44,4,0.5709176923886428,0.48592090567557006,(max (+ S B) (abs (* K L))),4,3.325,0.9,0.725,155.63887729999988,140
GP,44,5,0.5709176923886428,0.48425839292454065,(max (+ S B) (abs (* K L))),4,2.725,0.8,0.625,124.3598697999987,160
GP,44,6,0.5763729633834823,0.519300298252837,(max (+ (* K L) B) (abs (* K L))),5,2.9,0.775,0.55,115.24579919999815,180
GP,44,7,0.5784312678086045,0.5327958811408229,(+ #1 (abs (+ S B))),3,3.425,0.85,0.55,126.47173509999993,203
GP,44,8,0.5837392369200161,0.5293075461290015,(+ (* (/ D V) D) (abs (+ S B))),5,3.625,0.85,0.575,125.93823130000237,225
GP,44,9,0.6056300315365997,0.5496550261238528,(+ (+ #1 (abs (+ S B))) (abs (+ S B))),6,4.1,0.85,0.625,119.59475170000223,247
GP,44,10,0.6056300315365997,0.5582686391210541,(+ (+ #1 (abs (+ S B))) (abs (+ S B))),6,3.975,0.85,0.675,123.22859039999821,270
GP,44,11,0.6056300315365997,0.5395781391456888,(+ (+ #1 (abs (+ S B))) (abs (+ S B))),6,3.825,0.875,0.725,140.4178909000002,296
GP,44,12,0.612872343386587,0.5646830804527251,(+ (+ S B) (+ S B)),3,4.3,0.875,0.65,103.6018112999991,317
GP,44,13,0.612872343386587,0.5738934059606107,(+ (+ S B) (+ S B)),3,4.9,0.85,0.575,121.85283770000024,341
GP,44,14,0.612872343386587,0.580612245795347,(+ (+ S B) (+ S B)),3,4.125,0.675,0.45,85.81819529999848,359
GP,44,15,0.612872343386587,0.5737203932552972,(+ (+ S B) (+ S B)),3,3.6,0.675,0.5,73.62295009999798,374
GP,44,16,0.6193651938054737,0.5815066923633483,(+ (+ (+ S B) B) (max S B)),4,4.05,0.825,0.675,108.31166149999626,397
GP,44,17,0.6193651938054737,0.5635095660727412,(+ (+ (+ S B) B) (max S B)),4,4.375,0.95,0.85,126.41821689999779,422
GP,44,18,0.6193651938054737,0.5817101750982687,(+ (+ (+ S B) B) (max S B)),4,4.925,0.9,0.8,104.06750919999467,444
GP,44,19,0.6193651938054737,0.5865462184117678,(+ (+ (+ S B) B) (max S B)),4,5.0,0.825,0.55,118.43131420000282,468
GP,44,20,0.6193651938054737,0.5918084189340408,(+ (+ (+ S B) B) (max S B)),4,4.625,0.875,0.625,126.95517329999711,495
GP,44,21,0.6193651938054737,0.5900968747118203,(+ (+ (+ S B) B) (max S B)),4,4.05,0.775,0.575,92.13749670000107,514
GP,44,22,0.6193651938054737,0.5684407103812081,(+ (+ (+ S B) B) (max S B)),4,4.4,0.925,0.7,122.3913287999967,537
GP,44,23,0.6193651938054737,0.5778542929471684,(+ (+ (+ S B) B) (max S B)),4,4.4,0.75,0.675,93.9037354999964,556
GP,44,24,0.6193651938054737,0.5758007726764697,(+ (+ (+ S B) B) (max S B)),4,4.3,0.75,0.65,89.7192412000004,573
GP,44,25,0.6193651938054737,0.5837737516828948,(+ (+ (+ S B) B) (max S B)),4,4.525,0.775,0.625,90.06863270000031,591
